,Artista,Nombre,Nacionality
151,Alice Cooper,Alice Cooper,US
152,Jonathan Edwards,Jonathan Mann,US
153,Hot Butter,Hot Butter,US
154,Jackson Browne,Jackson Browne,US
155,Gilbert O’Sullivan,Gilbert O’Sullivan,IE
156,The Moody Blues,The Moody Blues,GB
157,Jim Croce,Jim Croce,US
158,T. Rex,T. Rex,GB
159,the Rolling Stones,The Rolling Stones,GB
160,David Cassidy,David Bowie,
161,Robert John,Robert Schumann,DE
162,Eagles,Eagles,US
163,Raspberries,Raspberries,US
164,the Stylistics,The Beatles,GB
165,Roberta Flack,Roberta Flack,US
166,Dennis Coffey,Dennis Coffey,US
167,Dr. Hook & The Medicine Show,Dr. Hook,US
168,The O’Jays,The O’Jays,US
169,Paul Simon,Paul Simon,US
170,Betty Wright,Betty Wright,US
171,The Chi-Lites,The Chi‐Lites,US
172,Jackson 5,Michael Jackson,US
173,Daniel Boone,Pat Boone,US
174,Ricky Nelson,Ricky Nelson,US
175,Sonny & Cher,Sonny & Cher,US
176,The Stylistics,The Beatles,GB
177,Commander Cody and His Lost Planet Airmen,Commander Cody & His Lost Planet Airmen,US
178,Donna Fargo,Donna Fargo,US
179,Curtis Mayfield,Curtis Mayfield,US
180,Mac Davis,Miles Davis,US
181,the Chi-Lites,The Chi‐Lites,US
182,The Main Ingredient,Main Ingredient,
183,The Chakachas,The Beatles,GB
184,Carole King,Carole King,US
185,Luther Ingram,Luther Ingram,US
186,Climax,Climax Blues Band,GB
187,Argent,Argent,GB
188,Joe Simon,Simon Jäger,DE
189,Billy Preston,Billy Preston,US
190,Sammy Davis Jr. with the Mike Curb Congregation,Sammy Davis Jr.,US
191,Chuck Berry,Chuck Berry,US
192,Gallery,Gallery Six,
193,Joe Tex,Joe Tex,US
194,Looking Glass,Philip Glass,US
195,Danny O’Keefe,Danny Elfman,US
196,Gary Glitter,Gary Glitter,GB
197,The Jimmy Castor Bunch,The Jimmy Castor Bunch,US
198,Wayne Newton,Wayne Newton,US
199,The Staple Singers,The Staple Singers,US
200,Skylark,Skylark,IT
201,Paul McCartney & Wings,Wings,GB
202,Kris Kristofferson,Kris Kristofferson,US
203,Edward Bear,Edward Elgar,GB
204,Stealers Wheel,Stealers Wheel,GB
205,King Harvest,Stephen King,US
206,Stories,Stories,US
207,B.W. Stevenson,B.W. Stevenson,US
208,Steely Dan,Steely Dan,
209,The Doobie Brothers,The Doobie Brothers,US
210,Dobie Gray,Dobie Gray,US
211,Albert Hammond,Albert Hammond,GB
212,The Allman Brothers Band,The Allman Brothers Band,US
213,Billy Paul,Paul McCartney,GB
214,Vicki Lawrence,Vicki Lawrence,US
215,Deep Purple,Deep Purple,GB
216,George Harrison,George Harrison,GB
217,Grand Funk Railroad,Grand Funk Railroad,US
218,Garfunkel,Simon & Garfunkel,US
219,Dr. John,Dr. John,US
220,The Edgar Winter Group,The Edgar Winter Group,US
221,Barry White,Barry White,US
222,Bloodstone,Bloodstone,US
223,Bobby ‘Boris’ Pickett,Bobby “Boris” Pickett,US
224,The Isley Brothers,The Isley Brothers,US
225,Loggins and Messina,Loggins & Messina,US
226,Seals and Crofts,Seals & Crofts,US
227,Timmy Thomas,Timmy Thomas,US
228,Johnnie Taylor,Johnnie Taylor,US
229,Focus,Focus,NL
230,War,War,US
231,Bette Midler,Bette Midler,US
232,Sylvia,Sylvia Vrethammar,SE
233,Eric Weissberg & Steve Mandell,Eric Clapton,GB
234,Charlie Daniels Band,The Charlie Daniels Band,US
235,Maureen McGovern,Maureen McGovern,US
236,Sweet,Sweet,GB
237,The Spinners,The Beatles,GB
238,Eddie Kendricks,Eddie Kendricks,US
239,Marie Osmond,Marie Osmond,US
240,Johnny Rivers,Johnny Cash,US
241,The Pointer Sisters,The Pointer Sisters,US
242,the DeFranco Family featuring Tony DeFranco,Buddy DeFranco,US
243,Jermaine Jackson,Jermaine Jackson,US
244,Clint Holmes,Clint Bajakian,US
245,Hurricane Smith,Bessie Smith,US
246,Deodato,Eumir Deodato,BR
247,New York City,New York City,
