,Artist
314,Three Dog Night
315,George Harrison
316,Grand Funk Railroad
317,Garfunkel
318,Curtis Mayfield
319,Dr. Hook & The Medicine Show
320,Dr. John
321,The Edgar Winter Group
322,Al Green
323,Barry White
324,Gladys Knight & the Pips
325,Paul Simon
326,Bloodstone
327,Bobby ‘Boris’ Pickett
328,Marvin Gaye
329,The Isley Brothers
330,Loggins and Messina
331,Seals and Crofts
332,Timmy Thomas
333,Johnnie Taylor
334,Diana Ross
335,Focus
336,War
337,Bette Midler
338,Sylvia
339,The Stylistics
340,Eric Weissberg & Steve Mandell
341,Charlie Daniels Band
342,Chicago
343,Marvin Gaye
344,Billy Preston
345,Maureen McGovern
346,Billy Preston
347,Sweet
348,Al Green
349,Al Green
350,Cher
351,Tony Orlando and Dawn
352,The Spinners
353,Donny Osmond
354,Eddie Kendricks
355,Marie Osmond
356,Johnny Rivers
357,War
358,Donna Fargo
359,Lobo
360,The Pointer Sisters
361,the DeFranco Family featuring Tony DeFranco
362,Jermaine Jackson
363,Clint Holmes
364,Hurricane Smith
365,Tony Orlando and Dawn
366,The Four Tops
367,War
368,Carly Simon
369,The Four Tops
370,The Spinners
371,Deodato
372,New York City
373,Carly Simon & James Taylor
374,Redbone
375,Lynyrd Skynyrd
376,Barry White
377,Bad Company
378,Elton John
379,Jim Croce
380,ABBA
381,Steve Miller Band
382,The First Class
383,Elton John
384,Kool & the Gang
385,Mocedades
386,John Denver
387,Paul McCartney and Wings
388,Billy Preston
389,The Carpenters
390,David Essex
391,Blue Swede
392,Gordon Lightfoot
393,Paul McCartney and Wings
394,The Hues Corporation
395,Jim Croce
396,Joni Mitchell
397,Steely Dan
398,Eric Clapton
399,The Hollies
400,The Stylistics
401,America
402,Byron MacGregor
403,Elton John
404,Bobby Womack
405,Terry Jacks
406,Barbra Streisand
407,Charlie Rich
408,John Denver
409,Cat Stevens
410,Cher
411,Brownsville Station
412,Chicago
413,Elton John
414,Kool & the Gang
415,William DeVaughn
416,Todd Rundgren
417,The O’Jays
418,Anne Murray
419,John Denver
420,Rufus & Chaka Khan
421,Three Dog Night
422,Andy Kim
423,Blue Magic
424,Ray Stevens
425,The Jackson 5
426,George McCrae
427,Marvin Hamlisch
428,Stevie Wonder
429,Grand Funk Railroad
430,John Lennon with the Plastic Ono Band
431,Johnny Bristol
432,Sister Janet Mead
433,Gladys Knight & the Pips
434,Maria Muldaur
435,Olivia Newton-John
436,Paper Lace
437,Mike Oldfield
438,Ringo Starr
439,Al Wilson
440,Ringo Starr
441,Dave Loggins
442,Olivia Newton-John
443,Carole King
444,MFSB featuring the Three Degrees
445,Olivia Newton-John
446,The Main Ingredient
447,Dionne Warwick & The Spinners
448,Bo Donaldson and The Heywoods
449,Jim Stafford
450,Mac Davis
451,B.T. Express
452,Helen Reddy
453,The Righteous Brothers
454,Love Unlimited Orchestra
455,The Guess Who featuring Wolfman Jack
456,Paul McCartney and Wings
457,Eddie Kendricks
458,Stevie Wonder
459,Bobby Vinton
460,Helen Reddy
461,Aretha Franklin
462,The O’Jays
463,Barry White
464,Gladys Knight & the Pips
465,Tony Orlando and Dawn
466,Jim Stafford
467,Donny and Marie Osmond
468,Chicago
469,Paul Anka with Odia Coates
470,the Ritchie Family
471,John Denver
472,Pilot
473,America
474,Natalie Cole
475,Neil Sedaka
476,Ringo Starr
477,Eagles
478,Grand Funk
479,Michael Martin Murphey
480,Carl Douglas
481,"Hamilton, Joe Frank & Reynolds"
482,Ace
483,War
484,Minnie Riperton
485,Grand Funk Railroad
486,Labelle
487,Barry Manilow
488,Eagles
489,Hot Chocolate
490,Glen Campbell
491,Elton John
492,Joe Cocker
493,Morris Albert
494,"Earth, Wind & Fire"
495,James Taylor
496,Neil Sedaka
497,Olivia Newton-John
498,The Carpenters
499,Bee Gees
500,Captain & Tennille
501,Frankie Valli
502,The Doobie Brothers
503,America
504,David Bowie
505,Ringo Starr
506,B.T. Express
507,Chicago
508,Jefferson Starship
509,Linda Ronstadt
510,War
511,Elton John
512,KC and the Sunshine Band
513,Ozark Mountain Daredevils
514,Average White Band
515,Elton John
516,Elton John
517,Four Seasons
518,Janis Ian
519,The Isley Brothers
520,Freddy Fender
521,Sammy Johns
522,Van McCoy & the Soul City Symphony
523,Freddy Fender
524,Melissa Manchester
525,Paul Anka & Odia Coates
526,Wings
527,The Blackbyrds
528,B.J. Thomas
529,Olivia Newton-John
530,Stevie Wonder
531,Paul McCartney & Wings
532,Alice Cooper
533,Barry Manilow
534,Linda Ronstadt
535,The Carpenters
536,Phoebe Snow
537,Donny & Marie Osmond
538,Helen Reddy
539,David Geddes
540,Tavares
541,10cc
542,Captain & Tennille
543,Frankie Valli
544,Major Harris
545,Tony Orlando and Dawn
546,Average White Band
547,Sweet
548,Helen Reddy
549,Mike Post
550,the Spinners
551,Tony Camillo’s Bazuka
552,John Denver
553,"Earth, Wind & Fire"
