,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,Track_Length,Track_Language
852,Thunder Island,Jay Ferguson,240,4,0.497,0.718,0,-7.744,1,0.0275,0.00113,0.0606,0.544,0.792,127.79,49,1978,2,GERMAN
857,Serpentine Fire,"Earth, Wind & Fire",230,4,0.773,0.917,0,-7.333,1,0.037,0.184,0.00463,0.116,0.946,139.872,48,1978,2,FRENCH
863,"Dance, Dance, Dance (YOWSAH, Yowsah, Yowsah)",Chic,501,4,0.85,0.665,10,-9.404,0,0.0887,0.00964,0.486,0.0886,0.718,123.166,41,1978,6,GERMAN
886,Rise,Herb Alpert,161,3,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,81,1979,1,FRENCH
889,Boogie Wonderland,"Earth, Wind & Fire & The Emotions",288,4,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,77,1979,2,GERMAN
893,Renegade,Styx,195,4,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,75,1979,1,SPANISH
920,Promises,Eric Clapton,646,4,0.362,0.421,10,-11.699,1,0.0372,0.281,6.2e-05,0.0943,0.233,114.669,65,1979,1,FRENCH
937,Tusk,Fleetwood Mac,217,4,0.628,0.779,0,-11.841,1,0.0831,0.224,0.776,0.151,0.936,180.837,58,1979,1,GERMAN
949,Sail On,Commodores,240,4,0.481,0.317,1,-17.356,1,0.0455,0.413,1.1e-05,0.0786,0.435,142.417,54,1979,2,FRENCH
952,Sad Eyes,Robert John,253,3,0.431,0.463,0,-7.342,1,0.0268,0.599,0.00282,0.132,0.687,107.19,53,1979,2,SPANISH
953,Time Passages,Al Stewart,403,4,0.694,0.649,3,-7.176,1,0.0281,0.357,0.00258,0.0868,0.603,111.98,49,1979,2,FRENCH
