Unnamed: 0,Artista,Nombre,Nacionality
428,Marilyn McCoo & Billy Davis Jr.,Marilyn McCoo,US
429,Alan O’Day,Anita O’Day,US
430,Kenny Nolan,Kenny Rogers,US
431,Paul Nicholas,Paul McCartney,GB
432,David Soul,David Bowie,
441,Rick James,James Brown,US
445,John Paul Young,Paul Young,GB
448,David Gates,David Bowie,
450,Michael Johnson,Michael Jackson,US
452,the Who,The Who,GB
453,Dan Hill,Dan Brown,US
456,John Travolta & Olivia Newton-John,Olivia Newton‐John,AU
459,Paul Davis,Miles Davis,US
461,Exile,EXILE,JP
464,Kenny Loggins & Stevie Nicks,Stevie Nicks,US
465,Jay Ferguson,Maynard Ferguson,US
468,Bob Welch,Bob Dylan,US
472,L.T.D.,Public Image Ltd,GB
474,Johnny Mathis & Deniece Williams,Johnny Mathis,US
479,Suzi Quatro & Chris Norman,Suzi Quatro,US
481,Kiss,KISS,US
483,John Stewart,John Williams,US
484,"Earth, Wind & Fire & The Emotions","Earth, Wind & Fire",US
486,Donna Summer and Brooklyn Dreams,Donna Summer,US
487,KC & the Sunshine Band,KC and the Sunshine Band,US
489,Patrick Hernandez,Patrick Rothfuss,US
490,Ian Matthews,Dave Matthews Band,US
492,The Knack,The Beatles,GB
509,M,Boney M.,
510,Neil Diamond & Barbra Streisand,Barbra Streisand,US
512,David Naughton,David Bowie,
513,Rex Smith,T. Rex,GB
514,Frank Mills,Frank Sinatra,US
515,Bonnie Pointer,Bonnie Tyler,GB
519,The Emotions,The Beatles,GB
520,Peter Brown,James Brown,US
523,Stephen Bishop,Stephen King,US
