,Artista,Nombre,Nacionality
415,THE LIGHT,The Beatles,GB
420,Hot,Red Hot Chili Peppers,US
429,Sanford-Townsend Band,The E Street Band,US
430,Brick,Scott Brick,US
432,William Bell,William Dufris,US
436,Marilyn McCoo & Billy Davis Jr.,Marilyn McCoo,US
437,Alan O’Day,Anita O’Day,US
438,Kenny Nolan,Kenny Rogers,US
439,Paul Nicholas,Paul McCartney,GB
440,David Soul,David Bowie,
449,Rick James,James Brown,US
453,John Paul Young,Paul Young,GB
456,David Gates,David Bowie,
458,Michael Johnson,Michael Jackson,US
459,the Who,The Who,GB
460,Dan Hill,Dan Brown,US
462,Peter Brown,James Brown,US
464,John Travolta & Olivia Newton-John,Olivia Newton‐John,AU
467,Paul Davis,Miles Davis,US
469,Exile,EXILE,JP
472,Kenny Loggins & Stevie Nicks,Stevie Nicks,US
473,Jay Ferguson,Maynard Ferguson,US
476,Bob Welch,Bob Dylan,US
480,L.T.D.,Public Image Ltd,GB
482,Johnny Mathis & Deniece Williams,Johnny Mathis,US
487,Suzi Quatro & Chris Norman,Suzi Quatro,US
489,Kiss,KISS,US
491,John Stewart,John Williams,US
492,"Earth, Wind & Fire & The Emotions","Earth, Wind & Fire",US
494,Donna Summer and Brooklyn Dreams,Donna Summer,US
495,KC & the Sunshine Band,KC and the Sunshine Band,US
497,Patrick Hernandez,Patrick Rothfuss,US
498,Ian Matthews,Dave Matthews Band,US
500,The Knack,The Beatles,GB
516,M,Boney M.,
517,Neil Diamond & Barbra Streisand,Barbra Streisand,US
519,David Naughton,David Bowie,
520,Rex Smith,T. Rex,GB
521,Frank Mills,Frank Sinatra,US
522,Bonnie Pointer,Bonnie Tyler,GB
