Artista,Nacionality
The Ritchie Family,US
Pilot,GB
Styx,US
Natalie Cole,US
Neil Sedaka,US
Grand Funk,US
Michael Martin Murphey,US
Carl Douglas,JM
Ohio Players,US
Ace,GB
Minnie Riperton,US
LaBelle,US
Barry Manilow,US
Hot Chocolate,GB
Glen Campbell,US
Morris Albert,BR
"Earth, Wind & Fire",US
Orleans,US
Captain & Tennille,US
Frankie Valli,US
David Bowie,
Jefferson Starship,US
Linda Ronstadt,US
Gloria Gaynor,US
KC and the Sunshine Band,US
Ozark Mountain Daredevils,US
Average White Band,GB
Four Seasons,US
Janis Ian,US
Freddy Fender,US
Sammy Johns,US
Van McCoy & the Soul City Symphony,US
Melissa Manchester,US
Wings,GB
The Blackbyrds,US
Phoebe Snow,US
Donny & Marie Osmond,US
David Geddes,US
Tavares,US
10cc,GB
Major Harris,US
Mike Post,US
Bazuka,US
Electric Light Orchestra,GB
Carol Douglas,US
Harry Chapin,US
Jessi Colter,US
Aerosmith,US
MYSELF,
Hall & Oates,US
Bay City Rollers,GB
Blue Oyster Cult,US
Fleetwood Mac,GB
The Four Seasons,US
The Miracles,US
Wild Cherry,US
Queen,GB
Commodores,US
The Bellamy Brothers,US
Nazareth,GB
Peter Frampton,GB
Andrea True Connection,US
Boz Scaggs,US
Maxine Nightingale,GB
Elvin Bishop,US
Starland Vocal Band,US
The Manhattans,US
C. W. McCall,US
Heart,US
Gary Wright,US
Rhythm Heritage,US
Harold Melvin & the Blue Notes,US
Wing and a Prayer Fife and Drum Corps,US
Dr. Hook,US
Dorothy Moore,US
John Sebastian,US
Pratt and McClain,US
Donna Summer,US
Walter Murphy,US
Seals and Crofts,US
Carolyn Willis,US
David Ruffin,US
Silver Convention,DE
The Sylvers,US
Cliff Richard,GB
Paul Anka,CA
Starbuck,US
Henry Gross,US
George Benson,US
Vicki Sue Robinson,US
Rick Dees & His Cast of Idiots,US
Elton John,GB
Kiki Dee,GB
Lou Rawls,US
England Dan & John Ford Coley,US
The Brothers Johnson,US
Barry DeVorzon,US
Perry Botkin Jr.,US
The Beach Boys,US
Daryl Hall & John Oates,US
Boston,
Andrew Gold,US
Kansas,US
The Floaters,US
Bob Seger & The Silver Bullet Band,US
Jimmy Buffett,US
Stephen Bishop,US
Atlanta Rhythm Section,US
Foreigner,US
Lord David Dundas,GB
Peter McCann,US
Andy Gibb,AU
Bill Conti,US
Burton Cummings,
Leo Sayer,GB
THE LIGHT,
Kenny Rogers,US
"Crosby, Stills & Nash",US
Heatwave,GB
Hot,US
The Marshall Tucker Band,US
Al Stewart,GB
Debby Boone,US
Mary MacGregor,US
Shaun Cassidy,US
Thelma Houston,US
Pablo Cruise,US
Rose Royce,US
Sanford-Townsend Band,US
Brick,US
Firefall,US
William Bell,US
Rita Coolidge,US
Jennifer Warnes,US
Engelbert Humperdinck,GB
Marilyn McCoo,US
Billy Davis Jr.,US
Alan O’Day,US
Kenny Nolan,US
Paul Nicholas,GB
David Soul,US
Crystal Gayle,US
Climax Blues Band,GB
Rod Stewart,GB
Billy Joel,US
Parliament,US
Evelyn “Champagne” King,US
Gerry Rafferty,GB
The Trammps,US
Rick James,US
Samantha Sang,AU
Leif Garrett,US
Little River Band,AU
John Paul Young,AU
Yvonne Elliman,US
