,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,Track_Length,Track_Word_Length,Track_Transformed,Track_Language
147,stay awhile,The Bells,4:00,4,0.582,0.622,5,-8.19,0,0.364,0.484,0.707,0.109,0.509,77.929,50,1971,11,2,stay awhile,ENGLISH
148,draggin’ the line,Tommy James,2:44,4,0.669,0.583,1,-9.165,0,0.0689,0.0521,1.52e-05,0.177,0.647,114.543,50,1971,17,3,draggin’  line,ENGLISH
149,bring the boys home,Freda Payne,1:27,4,0.33,0.283,0,-15.971,1,0.061,0.575,0.0947,0.235,0.287,157.963,49,1971,19,4,bring  boys home,ENGLISH
150,smiling faces sometimes,The Undisputed Truth,3:18,4,0.551,0.461,11,-11.778,1,0.0255,0.252,2.39e-06,0.0541,0.739,105.155,49,1971,23,3,smiling faces sometimes,ENGLISH
151,i just want to celebrate,Rare Earth,3:37,4,0.446,0.929,9,-7.7,1,0.234,0.105,1.59e-06,0.015,0.652,176.462,48,1971,24,5, just want  celebrate,ENGLISH
152,temptation eyes,Grass Roots,2:39,4,0.555,0.869,3,-5.479,1,0.0278,0.0104,0.000156,0.108,0.84,134.892,47,1971,15,2,temptation eyes,ENGLISH
153,what’s going on,Marvin Gaye,3:51,4,0.565,0.646,1,-4.908,1,0.0352,0.195,0.0,0.0937,0.654,145.966,47,1971,15,3, going ,ENGLISH
154,for the good times,Ray Price,6:27,3,0.522,0.289,7,-12.013,1,0.0783,0.545,9.62e-05,0.136,0.584,171.497,47,1971,18,4,  good times,ENGLISH
155,one toke over the line,Brewer & Shipley,3:19,4,0.581,0.806,0,-8.158,1,0.0335,0.156,4.53e-06,0.215,0.87,77.496,46,1971,22,5,one toke over  line,ENGLISH
156,indian reservation (the lament of the cherokee reservation indian),Paul Revere & the Raiders,2:51,4,0.639,0.385,2,-13.253,1,0.0759,0.284,0.00193,0.0873,0.209,131.714,45,1971,66,9,indian reservation  lament   cherokee reservation indian,ENGLISH
157,if i were your woman,Gladys Knight & the Pips,3:14,4,0.472,0.492,6,-10.435,1,0.0583,0.711,0.107,0.679,0.555,74.09,44,1971,20,5,  were  woman,ENGLISH
158,do you know what i mean,Lee Michaels,3:13,4,0.788,0.861,0,-9.745,1,0.0623,0.158,1.35e-05,0.0199,0.95,109.232,44,1971,23,6,do you know   mean,ENGLISH
159,one less bell to answer,The 5th Dimension,3:30,3,0.398,0.405,11,-6.664,0,0.0258,0.737,4.97e-05,0.131,0.443,99.694,43,1971,23,5,one less bell  answer,ENGLISH
160,"when you’re hot, you’re hot",Jerry Reed,2:19,4,0.788,0.832,4,-10.783,1,0.0981,0.354,0.0,0.1,0.91,101.045,41,1971,27,5,"  hot,  hot",ENGLISH
161,stoned love,The Supremes,2:57,4,0.547,0.657,2,-6.86,1,0.0384,0.357,0.000449,0.0695,0.486,120.035,39,1971,11,2,stoned love,ENGLISH
162,i hear you knocking,Dave Edmunds,2:47,4,0.75,0.615,4,-8.956,1,0.0386,0.0233,0.000165,0.0847,0.979,103.353,38,1971,19,4, hear you knocking,ENGLISH
163,never ending song of love,Delaney & Bonnie & Friends,3:20,4,0.669,0.533,0,-14.096,1,0.0273,0.261,0.0,0.156,0.847,92.273,38,1971,25,5,never ending song  love,ENGLISH
164,it don’t come easy,Ringo Starr,3:28,4,0.632,0.591,10,-13.322,1,0.0502,0.395,0.0,0.0797,0.536,141.702,38,1971,18,4,  come easy,ENGLISH
165,go away little girl,Donny Osmond,2:30,4,0.302,0.521,7,-5.391,1,0.0354,0.72,4.74e-06,0.123,0.364,101.814,36,1971,19,4,go away little girl,ENGLISH
166,one bad apple,The Osmonds,2:44,4,0.6,0.567,0,-7.163,1,0.0398,0.382,0.0,0.213,0.92,101.041,36,1971,13,3,one bad apple,SPANISH
167,i woke up in love this morning,The Partridge Family,2:40,4,0.584,0.552,11,-12.36,0,0.0341,0.281,0.0,0.0842,0.71,137.587,36,1971,30,7, woke up  love  morning,ENGLISH
168,stoney end,Barbra Streisand,2:57,4,0.504,0.656,0,-13.219,1,0.0466,0.0249,2.07e-05,0.154,0.826,120.994,35,1971,10,2,stoney end,ENGLISH
169,put your hand in the hand,Ocean,2:56,4,0.833,0.475,9,-14.951,1,0.0403,0.0489,0.000104,0.0759,0.978,136.384,35,1971,25,6,put  hand   hand,ENGLISH
170,watching scotty grow,Bobby Goldsboro,2:37,4,0.506,0.401,2,-11.96,1,0.033,0.474,0.00191,0.358,0.567,90.259,32,1971,20,3,watching scotty grow,ENGLISH
171,want ads,Honey Cone,2:46,4,0.65,0.812,1,-6.912,1,0.239,0.33,0.000131,0.0833,0.927,189.684,32,1971,8,2,want ads,ENGLISH
172,i don’t know how to love him,Helen Reddy,3:40,4,0.408,0.417,2,-7.099,1,0.0269,0.259,1.1e-06,0.154,0.34,71.334,31,1971,28,7,  know   love him,ENGLISH
173,somos novios (it’s impossible),Perry Como,3:07,4,0.535,0.121,1,-16.361,1,0.0354,0.836,0.000298,0.12,0.234,82.477,29,1971,30,4,somos novios  impossible,SPANISH
174,doesn’t somebody want to be wanted,The Partridge Family,2:47,4,0.742,0.387,10,-13.822,1,0.0349,0.634,0.0,0.0424,0.878,113.045,29,1971,34,6,doesn’t somebody want   wanted,ENGLISH
175,chick-a-boom (don’t ya jes’ love it),Daddy Dewdrop,2:51,4,0.781,0.732,0,-6.766,1,0.0505,0.0343,0.0,0.173,0.962,124.557,26,1971,36,6,chick--boom  ya jes’ love ,ENGLISH
176,don’t pull your love,"Hamilton, Joe Frank & Reynolds",3:22,3,0.567,0.575,11,-6.618,0,0.0255,0.678,2.33e-05,0.0745,0.62,105.461,26,1971,20,4, pull  love,ENGLISH
177,sweet and innocent,Donny Osmond,3:02,4,0.762,0.786,0,-5.08,1,0.044,0.498,0.000201,0.141,0.969,125.524,25,1971,18,3,sweet  innocent,ENGLISH
178,mama’s pearl,The Jackson 5,6:47,4,0.365,0.887,9,-9.936,1,0.452,0.0378,0.00332,0.432,0.426,155.164,23,1971,12,2,mama’s pearl,ENGLISH
179,don’t knock my love,Wilson Pickett,4:53,4,0.572,0.425,10,-16.738,1,0.0391,0.384,0.265,0.0817,0.88,113.264,13,1971,19,4, knock  love,ENGLISH
180,she’s not just another woman,8th Day,3:06,4,0.716,0.864,9,-4.782,0,0.192,0.257,0.0,0.0544,0.874,80.332,12,1971,28,5, not just another woman,ENGLISH
182,i’ll meet you halfway,the Partridge Family,4:15,4,0.391,0.693,0,-7.56,1,0.0293,0.000854,1.9e-06,0.104,0.39,103.065,6,1971,21,4, meet you halfway,ENGLISH
183,that’s the way i’ve always heard it should be,Carly Simon,4:18,4,0.4,0.0897,0,-19.012,1,0.0288,0.938,0.000521,0.0847,0.24,70.387,1,1971,45,9,  way  always heard  should ,ENGLISH
185,i’ve found someone of my own,The Free Movement,3:34,3,0.676,0.334,7,-14.458,1,0.0526,0.803,0.479,0.158,0.776,112.225,0,1971,28,6, found someone   own,ENGLISH
186,rocket man,Elton John,4:41,4,0.601,0.532,10,-9.119,1,0.0286,0.433,5.95e-06,0.0925,0.342,136.576,82,1972,10,2,rocket man,ENGLISH
187,down by the lazy river,The Osmonds,4:21,4,0.541,0.366,11,-10.412,1,0.0748,0.56,1e-06,0.0946,0.168,159.707,82,1972,22,5,down by  lazy river,ENGLISH
188,listen to the music,the Doobie Brothers,3:47,4,0.645,0.598,1,-13.18,0,0.0334,0.221,3.53e-06,0.0721,0.913,105.929,81,1972,19,4,listen   music,ENGLISH
189,joy,Apollo 100,2:30,4,0.788,0.898,10,-4.653,0,0.0592,0.0182,0.000123,0.114,0.496,115.96,80,1972,3,1,joy,ENGLISH
190,where is the love,Roberta Flack & Donny Hathaway,4:32,4,0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,80,1972,17,4,where   love,ENGLISH
191,family affair,Sly & the Family Stone,4:25,4,0.911,0.551,8,-3.75,0,0.045,0.133,4.35e-05,0.0863,0.969,92.887,78,1972,13,2,family affair,ENGLISH
192,a horse with no name,America,4:12,4,0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188,77,1972,20,5, horse  no name,ENGLISH
193,american pie,Don McLean,8:36,4,0.529,0.482,4,-11.709,0,0.0599,0.7,0.0,0.0842,0.492,138.453,77,1972,12,2,american pie,ENGLISH
194,long cool woman in a black dress,The Hollies,3:19,4,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.918,77,1972,32,7,long cool woman   black dress,ENGLISH
195,let’s stay together,Al Green,3:19,4,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,76,1972,19,3,let’s stay together,ENGLISH
196,burning love,Elvis Presley,2:50,4,0.66,0.748,2,-11.206,1,0.0284,0.0993,0.00585,0.283,0.972,143.549,76,1972,12,2,burning love,ENGLISH
197,lean on me,Bill Withers,2:56,4,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,75,1972,10,3,lean  ,ENGLISH
198,without you,Harry Nilsson,2:41,4,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,74,1972,11,2,without you,ENGLISH
199,i can see clearly now,Johnny Nash,2:44,4,0.681,0.373,2,-13.2,1,0.0568,0.633,0.00113,0.0751,0.623,123.423,74,1972,21,5, can see clearly now,ENGLISH
200,ben,Michael Jackson,5:22,4,0.665,0.673,0,-7.95,1,0.0493,0.259,7.62e-06,0.497,0.779,132.642,74,1972,3,1,ben,GERMAN
201,i need you,America,3:54,4,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,73,1972,10,3, need you,ENGLISH
202,layla,Derek and the Dominos,7:03,4,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,72,1972,5,1,layla,ENGLISH
203,everything i own,Bread,3:07,4,0.365,0.338,2,-13.406,1,0.0322,0.735,0.0,0.104,0.446,79.241,71,1972,16,3,everything  own,ENGLISH
204,how do you do,Mouth & MacNeal,3:29,4,0.648,0.667,0,-8.986,1,0.0311,0.0534,6.75e-06,0.0908,0.666,109.607,71,1972,13,4, do you do,ENGLISH
205,heart of gold,Neil Young,3:07,4,0.537,0.399,4,-13.547,0,0.0269,0.202,0.0546,0.109,0.832,171.402,70,1972,13,3,heart  gold,ENGLISH
206,morning has broken,Cat Stevens,3:19,3,0.443,0.365,7,-11.829,1,0.0315,0.592,0.00484,0.0886,0.398,133.156,69,1972,18,3,morning has broken,ENGLISH
207,school’s out,Alice Cooper,3:30,4,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,68,1972,12,2,school’s out,ENGLISH
208,sunshine,Jonathan Edwards,3:02,4,0.67,0.737,9,-6.794,1,0.0434,0.223,0.0,0.325,0.754,92.983,68,1972,8,1,sunshine,ENGLISH
209,goodbye to love,The Carpenters,4:18,4,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,68,1972,15,3,goodbye  love,ENGLISH
210,in the rain,The Dramatics,3:45,4,0.534,0.409,7,-9.559,1,0.0378,0.844,0.000656,0.115,0.243,127.357,68,1972,11,3,  rain,ENGLISH
211,use me,Bill Withers,3:48,4,0.758,0.586,11,-13.461,0,0.056,0.033,0.0028,0.0743,0.947,154.629,66,1972,6,2,use ,ENGLISH
212,popcorn,Hot Butter,3:01,4,0.656,0.48,2,-7.156,1,0.0552,0.318,0.0,0.0917,0.402,132.043,66,1972,7,1,popcorn,ENGLISH
213,doctor my eyes,Jackson Browne,3:19,4,0.402,0.643,5,-8.749,1,0.0317,0.24,3.91e-05,0.118,0.525,150.086,65,1972,14,3,doctor  eyes,ENGLISH
214,alone again (naturally),Gilbert O’Sullivan,3:41,4,0.558,0.528,8,-6.265,0,0.032,0.625,7.49e-05,0.104,0.606,171.797,64,1972,23,3,alone again naturally,ENGLISH
215,nights in white satin,The Moody Blues,4:29,4,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,64,1972,21,4,nights  white satin,ENGLISH
216,black and white,Three Dog Night,3:13,4,0.443,0.582,2,-6.015,1,0.0482,0.0302,0.0,0.127,0.233,147.587,64,1972,15,3,black  white,ENGLISH
217,saturday in the park,Chicago,3:55,4,0.67,0.763,7,-6.864,1,0.0341,0.155,0.0,0.0799,0.61,114.398,63,1972,20,4,saturday   park,ENGLISH
218,you don’t mess around with jim,Jim Croce,3:02,4,0.763,0.736,11,-6.958,0,0.0491,0.584,1.71e-05,0.145,0.967,82.046,63,1972,30,6,you  mess around  jim,ENGLISH
219,bang a gong (get it on),T. Rex,4:27,4,0.729,0.818,2,-9.992,1,0.0732,0.157,0.284,0.195,0.906,125.814,63,1972,23,6,bang  gong get  ,ENGLISH
220,tumbling dice,the Rolling Stones,3:46,4,0.616,0.91,11,-4.248,1,0.0347,0.5,0.504,0.281,0.77,111.017,63,1972,13,2,tumbling dice,ENGLISH
221,cherish,David Cassidy,5:32,4,0.68,0.389,8,-13.239,1,0.0545,0.0121,0.0834,0.105,0.68,80.145,61,1972,7,1,cherish,ENGLISH
222,the lion sleeps tonight,Robert John,2:42,4,0.321,0.474,5,-9.383,1,0.0348,0.743,0.0,0.204,0.804,121.199,61,1972,23,4, lion sleeps tonight,ENGLISH
223,witchy woman,Eagles,4:10,4,0.555,0.568,2,-12.205,0,0.0341,0.364,0.00167,0.116,0.583,98.507,60,1972,12,2,witchy woman,ENGLISH
224,go all the way,Raspberries,3:25,4,0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,60,1972,14,4,go all  way,ENGLISH
225,you are everything,the Stylistics,2:55,4,0.507,0.636,2,-7.538,0,0.0401,0.849,0.0,0.646,0.702,142.248,60,1972,18,3,you are everything,ENGLISH
226,the first time ever i saw your face,Roberta Flack,4:20,4,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,59,1972,35,8, first time ever  saw  face,ENGLISH
227,day dreaming,Aretha Franklin,1:20,4,0.213,0.0751,7,-27.103,1,0.0433,0.971,0.441,0.113,0.0346,85.295,58,1972,12,2,day dreaming,ENGLISH
228,scorpio,Dennis Coffey,2:45,4,0.736,0.532,1,-7.151,1,0.265,0.0292,8.86e-06,0.0806,0.273,84.983,58,1972,7,1,scorpio,SPANISH
229,sylvia’s mother,Dr. Hook & The Medicine Show,3:48,4,0.303,0.47,9,-12.715,1,0.0512,0.692,0.0,0.339,0.563,168.104,58,1972,15,2,sylvia’s mother,ENGLISH
230,back stabbers,The O’Jays,3:06,4,0.751,0.714,10,-11.614,1,0.0374,0.317,0.0,0.639,0.935,124.379,58,1972,13,2,back stabbers,ENGLISH
231,too late to turn back now,Cornelius Brothers & Sister Rose,3:18,4,0.516,0.73,7,-7.136,1,0.0494,0.344,0.0,0.425,0.907,115.126,57,1972,25,6,too late  turn back now,ENGLISH
232,puppy love,Donny Osmond,2:41,4,0.234,0.443,7,-7.605,1,0.0361,0.701,0.0,0.25,0.448,68.69,57,1972,10,2,puppy love,ENGLISH
233,rockin’ robin,Michael Jackson,2:40,4,0.541,0.608,7,-13.083,1,0.106,0.298,0.0,0.234,0.938,171.992,57,1972,13,2,rockin’ robin,ENGLISH
234,mother and child reunion,Paul Simon,3:07,4,0.712,0.632,9,-7.704,1,0.0334,0.112,0.0,0.0648,0.764,119.931,56,1972,24,4,mother  child reunion,ENGLISH
235,never been to spain,Three Dog Night,3:46,4,0.517,0.502,4,-15.014,1,0.0275,0.58,0.00157,0.352,0.727,88.762,56,1972,19,4,never been  spain,ENGLISH
236,clean up woman,Betty Wright,2:49,4,0.865,0.652,5,-9.046,1,0.143,0.566,0.000919,0.0833,0.829,90.081,54,1972,14,3,clean up woman,ENGLISH
237,the way of love,Cher,3:02,4,0.865,0.414,5,-13.256,0,0.168,0.225,0.00159,0.0425,0.937,80.852,54,1972,15,4, way  love,ENGLISH
238,brand new key,Melanie,2:27,4,0.703,0.292,1,-10.924,1,0.036,0.805,3.76e-06,0.08,0.855,84.032,54,1972,13,3,brand new key,ENGLISH
239,song sung blue,Neil Diamond,3:05,4,0.594,0.529,0,-9.338,1,0.0287,0.276,3.92e-05,0.148,0.507,109.7,53,1972,14,3,song sung blue,ENGLISH
240,oh girl,The Chi-Lites,3:36,4,0.418,0.402,10,-12.942,1,0.0288,0.226,0.0,0.103,0.601,133.683,53,1972,7,2,oh girl,ENGLISH
241,day after day,Badfinger,3:11,4,0.399,0.686,5,-7.112,1,0.0311,0.109,0.000874,0.112,0.377,101.806,52,1972,13,3,day after day,ENGLISH
242,coconut,Harry Nilsson,3:24,4,0.825,0.387,0,-10.36,1,0.0364,0.756,0.000171,0.0866,0.794,126.067,52,1972,7,1,coconut,ENGLISH
243,sugar daddy,Jackson 5,4:05,4,0.822,0.673,4,-6.141,0,0.228,0.144,0.0,0.323,0.85,120.02,52,1972,11,2,sugar daddy,ENGLISH
244,beautiful sunday,Daniel Boone,3:02,4,0.676,0.463,9,-13.155,1,0.0306,0.309,0.0,0.288,0.91,121.923,51,1972,16,2,beautiful sunday,ENGLISH
245,garden party,Ricky Nelson,3:49,4,0.774,0.247,2,-21.657,1,0.0779,0.786,0.0186,0.116,0.803,143.955,51,1972,12,2,garden party,ENGLISH
246,a cowboy’s work is never done,Sonny & Cher,3:28,4,0.652,0.89,4,-3.471,1,0.034,0.00644,0.0,0.297,0.874,117.025,51,1972,29,6, cowboy’s work  never done,ENGLISH
247,hurting each other,The Carpenters,2:48,3,0.341,0.325,4,-9.421,1,0.038,0.765,0.0,0.3,0.292,93.265,51,1972,18,3,hurting each other,ENGLISH
248,"betcha by golly, wow",The Stylistics,4:13,4,0.43,0.56,3,-9.62,1,0.0268,0.362,0.000107,0.495,0.391,72.238,50,1972,20,4,"betcha by golly, wow",ENGLISH
249,hot rod lincoln,Commander Cody and His Lost Planet Airmen,2:44,4,0.696,0.791,4,-13.056,1,0.22,0.296,0.0,0.318,0.965,130.246,49,1972,15,3,hot rod lincoln,ENGLISH
250,the happiest girl in the whole u.s.a.,Donna Fargo,2:31,3,0.655,0.449,6,-11.468,1,0.0277,0.357,0.0,0.492,0.488,97.982,49,1972,37,7, happiest girl   whole u.s..,ENGLISH
251,freddie’s dead,Curtis Mayfield,2:28,4,0.821,0.574,1,-4.872,1,0.405,0.0536,6.39e-06,0.0799,0.441,170.941,47,1972,14,2,freddie’s dead,ENGLISH
252,"baby, don’t get hooked on me",Mac Davis,3:03,4,0.495,0.307,9,-18.168,1,0.0403,0.26,5.21e-05,0.103,0.802,80.97,47,1972,28,6,"baby,  get hooked  ",ENGLISH
253,have you seen her,the Chi-Lites,5:09,4,0.62,0.334,4,-15.598,1,0.0536,0.479,1.2e-06,0.169,0.298,139.375,47,1972,17,4,have you seen her,ENGLISH
254,everybody plays the fool,The Main Ingredient,3:22,4,0.485,0.641,3,-8.752,1,0.0418,0.704,9.92e-05,0.159,0.855,168.645,46,1972,24,4,everybody plays  fool,ENGLISH
255,jungle fever,The Chakachas,2:56,4,0.719,0.707,7,-9.025,1,0.339,0.0751,0.0,0.121,0.615,151.055,45,1972,12,2,jungle fever,ENGLISH
256,an old fashioned love song,Three Dog Night,3:50,4,0.46,0.498,10,-12.718,1,0.0373,0.478,0.00884,0.0817,0.84,101.392,45,1972,26,5, old fashioned love song,ENGLISH
257,anticipation,Carly Simon,3:21,4,0.61,0.297,2,-14.956,1,0.0304,0.838,9.16e-06,0.107,0.543,99.963,44,1972,12,1,anticipation,FRENCH
258,sweet seasons,Carole King,3:13,4,0.66,0.545,10,-12.499,1,0.0274,0.305,0.00185,0.099,0.864,116.229,44,1972,13,2,sweet seasons,ENGLISH
259,(if loving you is wrong) i don’t want to be right,Luther Ingram,3:36,4,0.502,0.451,4,-7.423,0,0.0438,0.283,0.0,0.154,0.531,140.474,44,1972,49,11, loving you  wrong   want   right,ENGLISH
260,i’m still in love with you,Al Green,2:57,4,0.771,0.536,2,-9.867,1,0.151,0.2,1.88e-06,0.0766,0.899,81.343,43,1972,26,6, still  love  you,ENGLISH
261,precious and few,Climax,2:44,4,0.203,0.401,9,-12.341,1,0.0339,0.434,0.0,0.1,0.17,201.467,43,1972,16,3,precious  few,ENGLISH
262,(last night) i didn’t get to sleep at all,The 5th Dimension,3:12,4,0.671,0.497,5,-12.53,0,0.0289,0.484,0.0027,0.0893,0.564,105.117,43,1972,41,9,last night  didn’t get  sleep  all,ENGLISH
263,hold your head up,Argent,6:17,4,0.502,0.488,7,-12.265,1,0.0261,0.3,0.128,0.319,0.74,89.279,42,1972,17,4,hold  head up,ENGLISH
264,drowning in the sea of love,Joe Simon,3:23,4,0.603,0.448,9,-10.548,0,0.0934,0.392,0.0157,0.105,0.509,119.717,42,1972,27,6,drowning   sea  love,ENGLISH
265,got to be there,Michael Jackson,3:24,4,0.349,0.569,1,-9.512,1,0.0434,0.11,0.000122,0.0416,0.721,171.354,42,1972,15,4,got   there,ENGLISH
266,look what you done for me,Al Green,3:05,4,0.604,0.568,10,-8.555,1,0.0447,0.371,3.18e-06,0.182,0.818,95.672,41,1972,25,6,look  you done  ,ENGLISH
267,outa-space,Billy Preston,4:10,4,0.715,0.827,1,-8.555,1,0.0369,0.14,0.176,0.243,0.901,116.213,41,1972,10,1,outa-space,FRENCH
268,the candy man,Sammy Davis Jr. with the Mike Curb Congregation,3:08,4,0.634,0.56,0,-10.883,1,0.037,0.681,0.0,0.367,0.88,131.641,41,1972,13,3, candy man,ENGLISH
269,my ding-a-ling,Chuck Berry,3:43,4,0.767,0.517,4,-9.908,1,0.195,0.791,0.000186,0.078,0.846,144.322,40,1972,14,2, ding--ling,ENGLISH
270,nice to be with you,Gallery,2:37,4,0.675,0.812,9,-10.834,1,0.0288,0.114,0.0,0.0409,0.971,131.865,40,1972,19,5,nice    you,ENGLISH
271,i gotcha,Joe Tex,3:58,4,0.632,0.731,1,-4.191,1,0.262,0.0826,0.0,0.0514,0.785,89.483,39,1972,8,2, gotcha,ENGLISH
272,brandy (you’re a fine girl),Looking Glass,3:10,4,0.762,0.56,4,-6.054,1,0.0319,0.0733,0.00679,0.0886,0.797,125.0,36,1972,27,5,brandy   fine girl,ENGLISH
273,if i could reach you,The 5th Dimension,3:10,4,0.233,0.216,10,-15.737,1,0.0333,0.922,0.0408,0.118,0.155,153.566,34,1972,20,5,   reach you,ENGLISH
274,good time charlie’s got the blues,Danny O’Keefe,3:22,4,0.553,0.254,4,-15.127,1,0.0309,0.764,0.328,0.0853,0.521,148.346,33,1972,33,6,good time charlie’s got  blues,ENGLISH
275,all i ever need is you,Sonny & Cher,2:09,4,0.62,0.415,0,-14.529,1,0.0355,0.856,0.79,0.0802,0.852,97.142,32,1972,22,6,all  ever need  you,ENGLISH
276,rock and roll (part 2),Gary Glitter,7:16,4,0.514,0.858,9,-6.691,1,0.306,0.134,0.000196,0.101,0.47,98.023,27,1972,22,5,rock  roll part 2,GERMAN
277,troglodyte (cave man),The Jimmy Castor Bunch,3:37,4,0.797,0.653,5,-14.226,1,0.0722,0.0527,0.0043,0.0801,0.861,133.294,27,1972,21,3,troglodyte cave man,FRENCH
278,daddy don’t you walk so fast,Wayne Newton,3:26,4,0.541,0.305,5,-14.475,1,0.0385,0.826,2.29e-06,0.148,0.515,146.596,26,1972,28,6,daddy  you walk so fast,ENGLISH
279,i’d love you to want me,Lobo,3:16,4,0.545,0.684,3,-10.036,1,0.0428,0.637,0.00018,0.0929,0.576,123.847,18,1972,23,6, love you  want ,ENGLISH
280,i’ll take you there,The Staple Singers,3:47,4,0.775,0.587,11,-12.71,1,0.0397,0.053,0.0102,0.0879,0.888,101.555,16,1972,19,4, take you there,ENGLISH
281,i’d like to teach the world to sing (in perfect harmony),The Hillside Singers,2:30,4,0.645,0.311,11,-12.264,1,0.0342,0.81,0.0,0.207,0.605,130.166,0,1972,56,11, like  teach  world  sing  perfect harmony,ENGLISH
282,i’d like to teach the world to sing (in perfect harmony),The New Seekers,2:30,4,0.645,0.311,11,-12.264,1,0.0342,0.81,0.0,0.207,0.605,130.166,0,1972,56,11, like  teach  world  sing  perfect harmony,ENGLISH
283,wildflower,Skylark,4:21,4,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,90,1973,10,1,wildflower,ENGLISH
284,my love,Paul McCartney & Wings,2:17,4,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,89,1973,7,2, love,ENGLISH
285,why me,Kris Kristofferson,2:41,4,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,85,1973,6,2, ,ENGLISH
286,last song,Edward Bear,2:43,4,0.492,0.673,6,-5.431,1,0.0347,0.413,0.0,0.137,0.488,203.812,80,1973,9,2,last song,ENGLISH
287,stuck in the middle with you,Stealers Wheel,3:28,4,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,80,1973,28,6,stuck   middle  you,ENGLISH
288,killing me softly with his song,Roberta Flack,4:58,4,0.765,0.289,4,-17.125,0,0.147,0.0268,1.77e-06,0.562,0.501,92.413,78,1973,31,6,killing  softly  his song,ENGLISH
289,superstition,Stevie Wonder,4:05,4,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,75,1973,12,1,superstition,GERMAN
290,crocodile rock,Elton John,3:55,4,0.621,0.8,4,-7.284,0,0.0344,0.0264,1.53e-05,0.059,0.968,149.908,74,1973,14,2,crocodile rock,ENGLISH
291,dancing in the moonlight,King Harvest,3:01,4,0.657,0.435,10,-15.707,1,0.0552,0.739,0.0,0.167,0.771,135.975,74,1973,24,4,dancing   moonlight,ENGLISH
292,brother louie,Stories,3:42,4,0.783,0.836,0,-9.223,0,0.0486,0.396,0.0236,0.135,0.831,108.966,74,1973,13,2,brother louie,ENGLISH
293,my maria,B.W. Stevenson,3:28,4,0.673,0.842,3,-4.627,1,0.0366,0.06,0.000257,0.178,0.898,125.57,73,1973,8,2, maria,SPANISH
294,"bad, bad leroy brown",Jim Croce,2:59,4,0.698,0.675,7,-10.742,1,0.04,0.709,0.0,0.0782,0.853,148.063,73,1973,20,4,"bad, bad leroy brown",ENGLISH
295,angie,The Rolling Stones,4:32,4,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,72,1973,5,1,angie,GERMAN
296,live and let die,Paul McCartney & Wings,3:02,4,0.266,0.778,11,-8.671,1,0.0624,0.0106,0.113,0.12,0.262,151.244,71,1973,16,4,live  let die,GERMAN
297,reelin’ in the years,Steely Dan,4:37,4,0.494,0.54,2,-17.34,1,0.0348,0.154,0.0,0.0878,0.723,134.976,71,1973,20,4,reelin’   years,ENGLISH
298,sing,The Carpenters,2:59,4,0.537,0.873,1,-4.516,1,0.0521,0.0299,0.0,0.0768,0.51,130.007,71,1973,4,1,sing,ENGLISH
299,daniel,Elton John,3:54,4,0.689,0.476,0,-11.945,1,0.029,0.379,5.12e-05,0.0864,0.9,132.074,70,1973,6,1,daniel,GERMAN
300,long train runnin’,The Doobie Brothers,3:27,4,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,70,1973,18,3,long train runnin’,ENGLISH
301,masterpiece,The Temptations,3:26,4,0.324,0.863,10,-3.716,0,0.123,0.000109,0.0,0.311,0.394,177.985,70,1973,11,1,masterpiece,ENGLISH
302,do it again,Steely Dan,5:57,4,0.655,0.431,2,-15.18,0,0.032,0.343,9.5e-06,0.0711,0.941,124.588,69,1973,11,3,do  again,ENGLISH
